#YEAR;RANKING;TEAM;POINTS;WIN;DRAW;LOSE;GOAL-BALANCE;GOALS-PRO;GOALS-AGAINST;MATCHES;PERFORMANCE-SCORE
2003;1;Cruzeiro/MG;100;31;7;8;55;102;47;46;72.50%
2003;2;Santos/SP;87;25;12;9;33;93;60;46;63.00%
2003;3;São Paulo/SP;78;22;12;12;14;81;67;46;56.50%
2003;4;São Caetano/SP;74;19;14;13;16;53;37;46;53.60%
2003;5;Coritiba/PR;73;21;10;15;9;67;58;46;52.90%
2003;6;Internacional/RS;72;20;10;16;2;59;57;46;52.20%
2003;7;Atlético/MG;72;19;15;12;14;76;62;46;52.20%
2003;8;Flamengo/RJ;66;18;12;16;-7;66;73;46;47.80%
2003;9;Goiás/GO;65;18;11;17;15;78;63;46;47.10%
2003;10;Paraná/PR;65;18;11;17;10;85;75;46;47.10%
2003;11;Figueirense/SC;65;17;14;15;8;62;54;46;47.10%
2003;12;Atlético/PR;61;17;10;19;-5;67;72;46;44.20%
2003;13;Guarani/SP;61;17;10;19;-8;64;72;46;44.20%
2003;14;Criciúma/SC;60;17;9;20;-12;57;69;46;43.50%
2003;15;Corinthians/SP;59;15;12;19;-2;61;63;46;42.80%
2003;16;Vitória/BA;56;15;11;20;-14;50;64;46;40.60%
2003;17;Vasco/RJ;54;13;15;18;-12;57;69;46;39.10%
2003;18;Juventude/RS;53;12;14;20;-15;55;70;46;38.40%
2003;19;Fluminense/RJ;52;13;11;22;-25;52;77;46;37.70%
2003;20;Grêmio/RS;50;13;11;22;-14;54;68;46;36.20%
2003;21;Ponte Preta/SP;50;11;18;17;-10;63;73;46;36.20%
2003;22;Paysandu/PA;49;15;12;19;-3;74;77;46;35.50%
2003;23;Fortaleza/CE;49;12;13;21;-16;58;74;46;35.50%
2003;24;Bahia/BA;46;12;10;24;-33;59;92;46;33.30%
